Tarih,Şimdi,Açılış,Yüksek,Düşük,Hac.,Fark %
30.06.2021,"35.026,9","35.832,6","36.089,5","34.126,6","107,07K","-2,25%"
29.06.2021,"35.834,7","34.477,3","36.590,3","34.247,6","97,27K","3,94%"
28.06.2021,"34.475,9","34.682,2","35.231,2","33.944,9","112,00K","-0,58%"
27.06.2021,"34.678,5","32.247,1","34.685,5","32.041,7","148,80K","7,55%"
26.06.2021,"32.243,4","31.592,1","32.643,0","30.206,9","156,67K","2,06%"
25.06.2021,"31.594,0","34.660,5","35.490,9","31.337,9","193,43K","-8,86%"
24.06.2021,"34.665,8","33.678,1","35.249,9","32.356,7","119,25K","2,94%"
23.06.2021,"33.674,3","32.498,3","34.784,3","31.736,5","173,34K","3,62%"
22.06.2021,"32.496,4","31.682,7","33.272,5","28.901,8","309,65K","2,54%"
21.06.2021,"31.692,0","35.597,9","35.708,4","31.284,1","256,87K","-10,97%"
20.06.2021,"35.595,8","35.510,9","36.097,9","33.378,0","137,48K","0,23%"
19.06.2021,"35.513,4","35.770,0","36.357,3","34.845,5","105,46K","-0,66%"
18.06.2021,"35.749,4","38.045,5","38.166,0","35.198,5","102,84K","-6,05%"
17.06.2021,"38.052,0","38.337,8","39.529,9","37.425,3","109,58K","-0,74%"
16.06.2021,"38.336,0","40.148,1","40.494,4","38.156,4","123,52K","-4,53%"
15.06.2021,"40.156,1","40.522,5","41.318,0","39.589,9","117,55K","-0,92%"
14.06.2021,"40.529,4","39.024,1","40.970,4","38.769,9","157,35K","3,86%"
13.06.2021,"39.022,9","35.467,5","39.321,6","34.827,0","123,32K","10,02%"
12.06.2021,"35.467,5","37.334,4","37.437,3","34.703,3","87,73K","-4,95%"
11.06.2021,"37.314,6","36.654,3","37.641,1","36.003,3","109,15K","1,81%"
10.06.2021,"36.649,4","37.375,2","38.340,8","35.824,0","154,32K","-1,83%"
09.06.2021,"37.332,2","33.385,5","37.517,6","32.428,6","209,82K","11,83%"
08.06.2021,"33.382,9","33.574,6","34.047,8","31.158,1","193,54K","-0,58%"
07.06.2021,"33.578,0","35.815,4","36.754,6","33.410,1","119,50K","-6,25%"
06.06.2021,"35.815,4","35.518,7","36.434,0","35.265,3","62,20K","0,83%"
05.06.2021,"35.520,0","36.841,2","37.887,6","34.832,0","101,48K","-3,61%"
04.06.2021,"36.851,3","39.191,4","39.255,4","35.659,9","127,71K","-5,96%"
03.06.2021,"39.187,3","37.555,7","39.462,3","37.193,6","106,44K","4,34%"
02.06.2021,"37.555,8","36.687,7","38.199,9","35.981,1","96,89K","2,37%"
01.06.2021,"36.687,6","37.294,3","37.850,3","35.742,7","113,48K","-1,64%"
31.05.2021,"37.298,6","35.644,0","37.480,7","34.213,2","131,70K","4,62%"
30.05.2021,"35.652,8","34.589,3","36.388,6","33.441,0","104,18K","3,09%"
29.05.2021,"34.584,6","35.664,5","37.227,1","33.664,2","160,43K","-3,02%"
28.05.2021,"35.662,5","38.543,2","38.844,1","34.772,4","199,58K","-7,17%"
27.05.2021,"38.417,3","39.249,0","40.322,2","37.190,8","122,93K","-2,12%"
26.05.2021,"39.249,2","38.375,7","40.750,0","37.847,0","153,80K","2,27%"
25.05.2021,"38.378,3","38.753,6","39.740,8","36.540,7","163,01K","-0,96%"
24.05.2021,"38.750,6","34.720,3","39.851,7","34.474,6","244,88K","11,74%"
23.05.2021,"34.679,7","37.446,8","38.248,7","31.192,4","325,73K","-7,39%"
22.05.2021,"37.448,3","37.291,0","38.776,0","35.314,9","185,83K","0,40%"
21.05.2021,"37.297,4","40.611,2","42.108,3","33.592,3","315,50K","-8,40%"
20.05.2021,"40.717,2","36.706,8","42.425,9","35.010,4","269,75K","10,88%"
19.05.2021,"36.720,5","42.898,3","43.516,6","30.261,7","607,10K","-14,40%"
18.05.2021,"42.897,3","43.538,5","45.770,9","42.293,9","154,96K","-1,48%"
17.05.2021,"43.541,3","46.424,2","46.545,4","42.201,5","274,76K","-6,21%"
16.05.2021,"46.426,4","46.729,3","49.764,3","43.920,8","180,07K","-0,60%"
15.05.2021,"46.708,8","49.839,1","50.640,9","46.650,2","131,91K","-6,28%"
14.05.2021,"49.839,8","49.704,9","51.459,2","48.874,0","118,84K","0,27%"
13.05.2021,"49.704,6","49.398,2","51.337,3","46.331,1","236,71K","0,65%"
