Tarih,Şimdi,Açılış,Yüksek,Düşük,Hac.,Fark %
08.12.2021,"50.473,9","50.596,6","51.204,7","48.700,7","55,59K","-0,24%"
07.12.2021,"50.595,2","50.547,4","51.918,6","50.070,9","56,29K","0,07%"
06.12.2021,"50.562,1","49.412,1","50.913,3","47.237,9","89,68K","2,34%"
05.12.2021,"49.405,5","49.196,4","49.689,3","47.797,8","72,03K","0,43%"
04.12.2021,"49.195,2","53.620,7","53.847,2","42.587,8","168,00K","-8,27%"
03.12.2021,"53.631,5","56.495,2","57.543,6","52.008,9","89,20K","-5,07%"
02.12.2021,"56.496,0","57.207,8","57.377,5","55.807,9","54,94K","-1,25%"
01.12.2021,"57.210,3","56.891,7","59.064,3","56.496,5","66,75K","0,58%"
30.11.2021,"56.882,9","57.795,2","59.174,4","55.936,9","73,66K","-1,58%"
29.11.2021,"57.794,8","57.288,1","58.855,2","56.726,7","58,65K","0,88%"
28.11.2021,"57.291,5","54.758,0","57.392,3","53.448,3","49,28K","4,61%"
27.11.2021,"54.765,9","53.747,2","55.280,3","53.654,3","40,71K","1,93%"
26.11.2021,"53.730,9","58.937,3","59.151,1","53.533,5","104,03K","-8,83%"
25.11.2021,"58.935,1","57.167,1","59.387,3","57.029,8","56,79K","3,08%"
24.11.2021,"57.171,7","57.559,4","57.697,4","55.910,6","56,68K","-0,70%"
23.11.2021,"57.573,2","56.304,8","57.855,1","55.542,5","72,48K","2,25%"
22.11.2021,"56.308,8","58.719,7","59.288,3","55.656,8","76,45K","-4,10%"
21.11.2021,"58.714,3","59.724,0","60.002,6","58.528,3","40,98K","-1,68%"
20.11.2021,"59.717,6","58.080,8","59.854,6","57.435,3","44,53K","2,81%"
19.11.2021,"58.083,4","56.908,3","58.335,9","55.626,3","74,44K","1,98%"
18.11.2021,"56.955,3","60.368,2","60.936,9","56.524,4","100,37K","-5,65%"
17.11.2021,"60.367,8","60.074,2","60.814,5","58.531,9","73,93K","0,46%"
16.11.2021,"60.089,1","63.605,1","63.605,6","58.655,9","115,36K","-5,52%"
15.11.2021,"63.597,9","65.514,9","66.311,2","63.439,5","53,53K","-2,92%"
14.11.2021,"65.508,2","64.397,2","65.508,2","63.608,3","33,98K","1,72%"
13.11.2021,"64.398,6","64.133,3","64.906,0","63.381,4","30,34K","0,41%"
12.11.2021,"64.134,5","64.782,6","65.449,7","62.309,7","63,27K","-1,04%"
11.11.2021,"64.806,7","64.922,8","65.583,3","64.121,9","50,37K","-0,19%"
10.11.2021,"64.932,6","66.942,6","68.990,6","62.951,3","96,21K","-2,95%"
09.11.2021,"66.904,4","67.528,7","68.493,3","66.334,9","66,13K","-0,92%"
08.11.2021,"67.527,9","63.276,4","67.763,3","63.276,4","81,08K","6,72%"
07.11.2021,"63.273,2","61.483,8","63.273,2","61.347,2","34,34K","2,91%"
06.11.2021,"61.483,9","60.973,2","61.543,2","60.093,6","34,89K","0,84%"
05.11.2021,"60.974,3","61.411,5","62.560,3","60.742,4","44,46K","-0,71%"
04.11.2021,"61.412,6","62.915,4","63.077,6","60.742,9","49,91K","-2,39%"
03.11.2021,"62.918,5","63.223,5","63.508,6","60.883,0","61,05K","-0,48%"
02.11.2021,"63.221,7","60.912,2","64.256,4","60.651,5","65,26K","3,79%"
01.11.2021,"60.915,3","61.310,1","62.430,1","59.612,7","61,21K","-0,64%"
31.10.2021,"61.309,6","61.842,2","62.393,7","60.005,7","50,06K","-0,86%"
30.10.2021,"61.840,1","62.245,0","62.338,5","60.786,0","40,51K","-0,65%"
29.10.2021,"62.242,8","60.579,9","62.952,2","60.322,2","63,39K","2,74%"
28.10.2021,"60.582,5","58.437,2","62.251,3","58.128,1","88,47K","3,67%"
27.10.2021,"58.438,1","60.312,5","61.452,9","58.112,6","88,11K","-3,11%"
26.10.2021,"60.310,8","63.067,5","63.275,1","59.907,3","57,13K","-4,37%"
25.10.2021,"63.067,0","60.864,3","63.694,8","60.655,8","51,06K","3,62%"
24.10.2021,"60.866,5","61.308,2","61.469,9","59.523,7","42,67K","-0,73%"
23.10.2021,"61.312,5","60.693,2","61.728,7","59.738,3","37,05K","1,03%"
22.10.2021,"60.690,3","62.200,8","63.699,7","60.055,7","75,69K","-2,44%"
21.10.2021,"62.210,2","66.004,6","66.616,9","62.092,1","105,38K","-5,71%"
20.10.2021,"65.979,1","64.276,9","66.967,1","63.543,7","79,87K","2,65%"
19.10.2021,"64.278,5","62.030,2","64.454,0","61.451,0","80,16K","3,58%"
18.10.2021,"62.056,3","61.525,8","62.623,6","60.026,9","80,15K","0,86%"
17.10.2021,"61.527,5","60.865,5","61.651,4","59.143,4","53,39K","1,09%"
16.10.2021,"60.861,1","61.669,2","62.329,2","60.161,9","49,93K","-1,32%"
15.10.2021,"61.672,5","57.348,2","62.892,8","56.874,8","121,48K","7,54%"
14.10.2021,"57.345,8","57.370,4","58.506,5","56.866,8","59,84K","-0,06%"
13.10.2021,"57.380,1","56.014,5","57.697,4","54.314,4","73,62K","2,44%"
12.10.2021,"56.015,9","57.480,6","57.635,7","54.155,4","74,85K","-2,54%"
11.10.2021,"57.477,3","54.686,9","57.814,1","54.457,8","73,84K","5,10%"
10.10.2021,"54.687,7","54.942,5","56.432,2","54.100,8","104,43K","-0,46%"
09.10.2021,"54.942,5","53.924,1","55.430,8","53.711,7","64,65K","1,91%"
08.10.2021,"53.914,7","53.785,5","55.977,9","53.659,3","64,05K","0,24%"
07.10.2021,"53.783,9","55.325,2","55.325,6","53.476,4","75,68K","-2,78%"
06.10.2021,"55.323,2","51.470,0","55.676,1","50.439,5","116,26K","7,49%"
05.10.2021,"51.469,3","49.229,5","51.872,4","49.060,1","76,63K","4,55%"
04.10.2021,"49.227,3","48.200,4","49.481,7","46.958,6","66,92K","2,13%"
03.10.2021,"48.200,1","47.665,4","49.165,2","47.123,0","42,41K","1,12%"
02.10.2021,"47.666,9","48.147,2","48.306,9","47.451,7","39,82K","-1,00%"
01.10.2021,"48.146,0","43.824,4","48.435,2","43.292,9","94,66K","9,86%"
30.09.2021,"43.823,3","41.534,5","44.101,2","41.416,7","64,32K","5,50%"
29.09.2021,"41.536,8","41.023,1","42.571,2","40.815,0","48,21K","1,25%"
28.09.2021,"41.022,3","42.169,9","42.758,8","40.906,4","60,01K","-2,73%"
27.09.2021,"42.172,6","43.200,9","44.293,2","42.143,9","54,12K","-2,39%"
26.09.2021,"43.203,4","42.685,8","43.907,3","40.786,6","69,91K","1,21%"
25.09.2021,"42.686,8","42.818,7","42.959,3","41.714,5","46,35K","-0,31%"
24.09.2021,"42.819,9","44.867,4","45.112,0","40.908,5","128,88K","-4,57%"
23.09.2021,"44.869,2","43.550,7","44.949,8","43.090,1","74,54K","3,03%"
22.09.2021,"43.551,6","40.660,8","43.976,7","40.585,7","93,98K","7,13%"
21.09.2021,"40.651,3","43.012,3","43.619,3","39.646,8","142,55K","-5,18%"
20.09.2021,"42.870,6","47.240,8","47.323,9","42.547,1","77,96K","-9,25%"
19.09.2021,"47.238,7","48.299,9","48.341,9","46.866,6","41,98K","-2,21%"
18.09.2021,"48.306,7","47.283,9","48.761,0","47.070,5","43,64K","2,17%"
17.09.2021,"47.282,8","47.748,2","48.155,9","46.788,8","50,16K","-0,97%"
16.09.2021,"47.748,0","48.132,3","48.480,6","47.040,3","60,91K","-0,80%"
15.09.2021,"48.130,6","47.070,8","48.436,5","46.743,9","63,40K","2,24%"
14.09.2021,"47.077,5","44.950,2","47.247,6","44.718,7","65,33K","4,73%"
13.09.2021,"44.949,5","46.060,8","46.807,7","43.463,2","96,15K","-2,42%"
12.09.2021,"46.062,3","45.162,6","46.386,4","44.755,2","44,52K","1,99%"
11.09.2021,"45.161,9","44.844,9","45.975,6","44.766,6","41,58K","0,71%"
10.09.2021,"44.842,8","46.385,9","47.021,6","44.283,6","75,62K","-3,33%"
09.09.2021,"46.385,6","46.057,6","47.305,7","45.609,0","73,63K","0,70%"
08.09.2021,"46.061,4","46.774,1","47.316,9","44.493,7","100,48K","-1,54%"
07.09.2021,"46.779,6","52.674,2","52.885,3","43.072,4","187,56K","-11,19%"
06.09.2021,"52.672,1","51.769,4","52.726,2","51.002,8","69,46K","1,75%"
